ts,Open,High,Low,Close,Volume
2026-04-29 14:18:00+00:00,10.7,11.1,10.6,11.1,88
2026-04-29 14:19:00+00:00,11.02,11.7,10.9,11.1,120
2026-04-29 14:20:00+00:00,11.27,11.5,10.8,11.0,138
2026-04-29 14:21:00+00:00,10.82,11.5,10.7,10.7,111
2026-04-29 14:22:00+00:00,10.67,10.7,10.2,10.35,97
2026-04-29 14:23:00+00:00,10.4,10.5,9.8,9.95,147
2026-04-29 14:24:00+00:00,9.8,10.44,9.7,10.0,137
2026-04-29 14:25:00+00:00,9.8,9.8,9.5,9.6,241
2026-04-29 14:26:00+00:00,9.58,9.7,9.15,9.7,141
2026-04-29 14:27:00+00:00,9.7,9.7,8.88,9.3,172
2026-04-29 14:28:00+00:00,9.4,9.5,8.88,9.0,154
2026-04-29 14:29:00+00:00,8.89,9.3,8.8,9.2,90
2026-04-29 14:30:00+00:00,9.3,9.85,9.25,9.3,233
2026-04-29 14:31:00+00:00,9.3,9.92,9.0,9.05,228
2026-04-29 14:32:00+00:00,9.05,9.05,8.3,8.6,255
2026-04-29 14:33:00+00:00,8.7,8.7,8.2,8.4,111
2026-04-29 14:34:00+00:00,8.5,8.5,7.9,8.0,126
2026-04-29 14:35:00+00:00,8.0,8.3,7.5,7.8,301
2026-04-29 14:36:00+00:00,7.73,7.9,7.6,7.8,156
2026-04-29 14:37:00+00:00,7.9,8.1,7.5,8.05,223
2026-04-29 14:38:00+00:00,8.1,8.2,7.8,7.8,135
2026-04-29 14:39:00+00:00,7.9,8.3,7.9,8.2,89
2026-04-29 14:40:00+00:00,8.35,8.6,8.3,8.3,453
2026-04-29 14:41:00+00:00,8.3,8.7,8.3,8.7,278
2026-04-29 14:42:00+00:00,8.7,8.7,8.1,8.3,138
2026-04-29 14:43:00+00:00,8.3,8.7,8.3,8.6,119
2026-04-29 14:44:00+00:00,8.4,8.65,8.28,8.3,80
2026-04-29 14:45:00+00:00,8.2,8.55,8.1,8.5,104
2026-04-29 14:46:00+00:00,8.56,8.7,8.3,8.6,109
2026-04-29 14:47:00+00:00,8.7,9.1,8.7,8.8,171
2026-04-29 14:48:00+00:00,8.6,8.6,8.3,8.3,107
2026-04-29 14:49:00+00:00,8.2,9.0,8.2,9.0,104
2026-04-29 14:50:00+00:00,8.9,9.26,8.7,8.75,187
2026-04-29 14:51:00+00:00,9.0,9.1,8.6,8.9,76
2026-04-29 14:52:00+00:00,8.9,9.2,8.7,8.8,93
2026-04-29 14:53:00+00:00,8.8,8.9,8.6,8.7,92
2026-04-29 14:54:00+00:00,8.5,8.75,8.4,8.6,53
2026-04-29 14:55:00+00:00,8.63,9.23,8.63,9.06,243
2026-04-29 14:56:00+00:00,9.0,9.2,8.8,9.2,79
2026-04-29 14:57:00+00:00,9.2,9.2,8.7,8.8,67
2026-04-29 14:58:00+00:00,8.8,9.36,8.7,9.1,110
2026-04-29 14:59:00+00:00,9.0,9.3,8.9,9.15,56
2026-04-29 15:00:00+00:00,9.12,9.3,8.85,8.85,101
2026-04-29 15:01:00+00:00,8.8,10.1,8.8,9.9,186
2026-04-29 15:02:00+00:00,10.0,10.6,10.0,10.2,220
2026-04-29 15:03:00+00:00,10.1,10.8,10.1,10.8,286
