Account Summary
Account,Net Account Value,Total Gain $,Total Gain %,Day's Gain Unrealized $,Day's Gain Unrealized %,Available For Withdrawal,Cash Purchasing Power
"Personal -9129",45879.44,-12740.35,-25.84,-2500.59,-6.40,9315.19,9315.19

SEARCH CRITERIA
Account,Start Date,End  Date,Symbol,Security Type,Covered,Term
"Personal -9129",01/01/2026,02/27/2026,SPY,Stocks  Options  Mutual Funds  Bonds  ETFs  ,All,All,


TAXABLE G&L SUMMARY
Total Gain Realized,Short-Term Gain Realized,Long-Term Gain Realized,Deferred Loss,Total Commissions & Fees
141.32,141.32,.00,.00,209.49,
TAXABLE G&L DETAILS
Symbol,Quantity,Date,Cost/Share $,Total Cost $,Date,Price/Share $,Proceeds $,Gain $,Deferred Loss $,Term,Lot Selection
SPY Jan 05 '26 $689 Call,1,--,--,41.66,--,--,60.34,18.68,--,Short,--
SPY Jan 21 '26 $681 Put,1,--,--,101.51,--,--,75.49,-26.02,--,Short,--
    Sell To Close,1,01/21/2026,1.02,101.51,01/21/2026,.75,75.49,-26.02,.00,Short,FIFO,
SPY Jan 26 '26 $688 Call,1,--,--,125.51,--,--,260.49,134.98,--,Short,--
    Sell To Close,1,01/21/2026,1.26,125.51,01/21/2026,2.60,260.49,134.98,.00,Short,FIFO,
SPY Jan 26 '26 $694 Call,1,--,--,41.51,--,--,32.49,-9.02,--,Short,--
    Sell To Close,1,01/26/2026,.42,41.51,01/26/2026,.32,32.49,-9.02,.00,Short,FIFO,
SPY Feb 02 '26 $690 Put,1,--,--,57.51,--,--,79.49,21.98,--,Short,--
    Sell To Close,1,02/02/2026,.58,57.51,02/02/2026,.79,79.49,21.98,.00,Short,FIFO,
SPY Feb 02 '26 $695 Put,1,--,--,38.51,--,--,39.49,.98,--,Short,--
    Sell To Close,1,02/02/2026,.39,38.51,02/02/2026,.39,39.49,.98,.00,Short,FIFO,
SPY Feb 03 '26 $693 Call,1,--,--,53.51,--,--,33.49,-20.02,--,Short,--
    Sell To Close,1,02/03/2026,.54,53.51,02/03/2026,.33,33.49,-20.02,.00,Short,FIFO,
SPY Feb 05 '26 $679 Call,1,--,--,144.51,--,--,156.49,11.98,--,Short,--
    Sell To Close,1,02/05/2026,1.45,144.51,02/05/2026,1.56,156.49,11.98,.00,Short,FIFO,
SPY Feb 05 '26 $681 Call,1,--,--,95.51,--,--,109.49,13.98,--,Short,--
    Sell To Close,1,02/05/2026,.96,95.51,02/05/2026,1.09,109.49,13.98,.00,Short,FIFO,
SPY Feb 05 '26 $682 Call,2,--,--,149.02,--,--,139.98,-9.04,--,Short,--
    Sell To Close,1,02/05/2026,1.15,114.51,02/05/2026,1.07,107.49,-7.02,.00,Short,FIFO,
    Sell To Close,1,02/05/2026,.35,34.51,02/05/2026,.32,32.49,-2.02,.00,Short,FIFO,
SPY Feb 05 '26 $675 Put,2,--,--,251.02,--,--,141.98,-109.04,--,Short,--
    Sell To Close,1,02/05/2026,1.34,133.51,02/05/2026,1.04,104.49,-29.02,.00,Short,FIFO,
    Sell To Close,1,02/05/2026,1.18,117.51,02/05/2026,.37,37.49,-80.02,.00,Short,FIFO,
SPY Feb 05 '26 $676 Put,1,--,--,68.51,--,--,81.49,12.98,--,Short,--
    Sell To Close,1,02/05/2026,.69,68.51,02/05/2026,.81,81.49,12.98,.00,Short,FIFO,
SPY Feb 05 '26 $677 Put,1,--,--,81.51,--,--,89.49,7.98,--,Short,--
    Sell To Close,1,02/05/2026,.82,81.51,02/05/2026,.89,89.49,7.98,.00,Short,FIFO,
SPY Feb 06 '26 $687 Call w,2,--,--,292.02,--,--,296.98,4.96,--,Short,--
    Sell To Close,1,02/06/2026,1.45,144.51,02/06/2026,1.38,138.49,-6.02,.00,Short,FIFO,
    Sell To Close,1,02/06/2026,1.48,147.51,02/06/2026,1.58,158.49,10.98,.00,Short,FIFO,
SPY Feb 06 '26 $684 Put w,2,--,--,174.02,--,--,169.98,-4.04,--,Short,--
    Sell To Close,1,02/06/2026,.96,95.51,02/06/2026,1.08,108.49,12.98,.00,Short,FIFO,
    Sell To Close,1,02/06/2026,.79,78.51,02/06/2026,.61,61.49,-17.02,.00,Short,FIFO,
SPY Feb 06 '26 $687 Put w,4,--,--,477.05,--,--,431.94,-45.11,--,Short,--
    Sell To Close,1,02/06/2026,1.49,148.51,02/06/2026,1.23,123.49,-25.02,.00,Short,FIFO,
    Sell To Close,1,02/06/2026,1.22,121.51,02/06/2026,1.29,129.49,7.98,.00,Short,FIFO,
    Sell To Close,2,02/06/2026,1.04,207.03,02/06/2026,.89,178.96,-28.07,.00,Short,FIFO,
SPY Feb 09 '26 $693 Call,1,--,--,142.51,--,--,159.49,16.98,--,Short,--
    Sell To Close,1,02/09/2026,1.43,142.51,02/09/2026,1.59,159.49,16.98,.00,Short,FIFO,
SPY Feb 09 '26 $694 Call,4,--,--,413.05,--,--,438.94,25.89,--,Short,--
    Sell To Close,1,02/09/2026,1.04,103.51,02/09/2026,1.14,114.49,10.98,.00,Short,FIFO,
    Sell To Close,2,02/09/2026,1.19,237.03,02/09/2026,1.24,248.96,11.93,.00,Short,FIFO,
    Sell To Close,1,02/09/2026,.73,72.51,02/09/2026,.75,75.49,2.98,.00,Short,FIFO,
SPY Feb 09 '26 $692 Put,1,--,--,102.51,--,--,129.49,26.98,--,Short,--
    Sell To Close,1,02/09/2026,1.03,102.51,02/09/2026,1.29,129.49,26.98,.00,Short,FIFO,
SPY Feb 09 '26 $695 Put,1,--,--,135.51,--,--,144.49,8.98,--,Short,--
    Sell To Close,1,02/09/2026,1.36,135.51,02/09/2026,1.44,144.49,8.98,.00,Short,FIFO,
SPY Feb 10 '26 $695 Call,3,--,--,387.54,--,--,448.45,60.91,--,Short,--
    Sell To Close,1,02/10/2026,1.41,140.51,02/10/2026,1.49,149.49,8.98,.00,Short,FIFO,
    Sell To Close,2,02/10/2026,1.24,247.03,02/10/2026,1.49,298.96,51.93,.00,Short,FIFO,
SPY Feb 10 '26 $694 Put,2,--,--,293.02,--,--,248.98,-44.04,--,Short,--
    Sell To Close,1,02/10/2026,1.51,150.51,02/10/2026,1.64,164.49,13.98,.00,Short,FIFO,
    Sell To Close,1,02/10/2026,1.43,142.51,02/10/2026,.84,84.49,-58.02,.00,Short,FIFO,
SPY Feb 10 '26 $696 Put,2,--,--,293.03,--,--,358.96,65.93,--,Short,--
    Sell To Close,2,02/10/2026,1.47,293.03,02/10/2026,1.79,358.96,65.93,.00,Short,FIFO,
SPY Feb 11 '26 $691 Call,1,--,--,160.51,--,--,209.49,48.98,--,Short,--
    Sell To Close,1,02/11/2026,1.61,160.51,02/11/2026,2.09,209.49,48.98,.00,Short,FIFO,
SPY Feb 11 '26 $693 Call,3,--,--,246.53,--,--,297.45,50.92,--,Short,--
    Sell To Close,1,02/11/2026,.92,91.51,02/11/2026,.98,98.49,6.98,.00,Short,FIFO,
    Sell To Close,1,02/11/2026,.97,96.51,02/11/2026,.99,99.48,2.97,.00,Short,FIFO,
    Sell To Close,1,02/11/2026,.59,58.51,02/11/2026,.99,99.48,40.97,.00,Short,FIFO,
SPY Feb 11 '26 $694 Call,1,--,--,79.51,--,--,74.49,-5.02,--,Short,--
    Sell To Close,1,02/11/2026,.80,79.51,02/11/2026,.74,74.49,-5.02,.00,Short,FIFO,
SPY Feb 11 '26 $690 Put,1,--,--,172.51,--,--,70.49,-102.02,--,Short,--
    Sell To Close,1,02/11/2026,1.73,172.51,02/11/2026,.70,70.49,-102.02,.00,Short,FIFO,
SPY Feb 11 '26 $692 Put,1,--,--,73.51,--,--,85.49,11.98,--,Short,--
    Sell To Close,1,02/11/2026,.74,73.51,02/11/2026,.85,85.49,11.98,.00,Short,FIFO,
SPY Feb 11 '26 $693 Put,1,--,--,97.51,--,--,118.49,20.98,--,Short,--
    Sell To Close,1,02/11/2026,.98,97.51,02/11/2026,1.18,118.49,20.98,.00,Short,FIFO,
SPY Feb 12 '26 $693 Call,5,--,--,321.56,--,--,169.49,-152.07,--,Short,--
    Sell To Close,1,02/12/2026,1.43,142.51,02/12/2026,1.69,169.49,26.98,.00,Short,FIFO,
    Options Expiration,1,02/12/2026,.55,54.51,02/12/2026,.00,0,-54.51,.00,Short,FIFO,
    Options Expiration,2,02/12/2026,.10,19.03,02/12/2026,.00,0,-19.03,.00,Short,FIFO,
    Options Expiration,1,02/12/2026,1.06,105.51,02/12/2026,.00,0,-105.51,.00,Short,FIFO,
SPY Feb 12 '26 $684 Put,1,--,--,126.51,--,--,154.49,27.98,--,Short,--
    Sell To Close,1,02/12/2026,1.27,126.51,02/12/2026,1.54,154.49,27.98,.00,Short,FIFO,
SPY Feb 12 '26 $685 Put,1,--,--,151.51,--,--,167.49,15.98,--,Short,--
    Sell To Close,1,02/12/2026,1.52,151.51,02/12/2026,1.67,167.49,15.98,.00,Short,FIFO,
SPY Feb 12 '26 $694 Put,1,--,--,149.51,--,--,188.49,38.98,--,Short,--
    Sell To Close,1,02/12/2026,1.50,149.51,02/12/2026,1.88,188.49,38.98,.00,Short,FIFO,
SPY Feb 12 '26 $695 Put,1,--,--,182.51,--,--,210.49,27.98,--,Short,--
    Sell To Close,1,02/12/2026,1.83,182.51,02/12/2026,2.10,210.49,27.98,.00,Short,FIFO,
SPY Feb 13 '26 $684 Call w,1,--,--,53.51,--,--,48.49,-5.02,--,Short,--
    Sell To Close,1,02/13/2026,.54,53.51,02/13/2026,.48,48.49,-5.02,.00,Short,FIFO,
SPY Feb 13 '26 $685 Call w,3,--,--,314.54,--,--,375.45,60.91,--,Short,--
    Sell To Close,1,02/13/2026,1.26,125.51,02/13/2026,1.48,148.49,22.98,.00,Short,FIFO,
    Sell To Close,2,02/13/2026,.95,189.03,02/13/2026,1.13,226.96,37.93,.00,Short,FIFO,
SPY Feb 13 '26 $681 Put w,3,--,--,334.54,--,--,362.45,27.91,--,Short,--
    Sell To Close,1,02/13/2026,1.42,141.51,02/13/2026,1.47,147.49,5.98,.00,Short,FIFO,
    Sell To Close,2,02/13/2026,.97,193.03,02/13/2026,1.07,214.96,21.93,.00,Short,FIFO,
SPY Feb 13 '26 $684 Put w,1,--,--,183.51,--,--,192.49,8.98,--,Short,--
    Sell To Close,1,02/13/2026,1.84,183.51,02/13/2026,1.92,192.49,8.98,.00,Short,FIFO,
SPY Feb 17 '26 $680 Call,1,--,--,319.51,--,--,323.49,3.98,--,Short,--
    Sell To Close,1,02/17/2026,3.20,319.51,02/17/2026,3.23,323.49,3.98,.00,Short,FIFO,
SPY Feb 17 '26 $682 Call,3,--,--,356.53,--,--,371.47,14.94,--,Short,--
    Sell To Close,1,02/17/2026,.57,56.51,02/17/2026,.46,46.49,-10.02,.00,Short,FIFO,
    Sell To Close,1,02/17/2026,1.49,148.51,02/17/2026,1.54,154.49,5.98,.00,Short,FIFO,
    Sell To Close,1,02/17/2026,1.52,151.51,02/17/2026,1.70,170.49,18.98,.00,Short,FIFO,
SPY Feb 17 '26 $684 Call,4,--,--,352.06,--,--,383.92,31.86,--,Short,--
    Sell To Close,2,02/17/2026,.91,181.03,02/17/2026,1.00,200.96,19.93,.00,Short,FIFO,
    Sell To Close,2,02/17/2026,.86,171.03,02/17/2026,.91,182.96,11.93,.00,Short,FIFO,
SPY Feb 17 '26 $674 Put,1,--,--,127.51,--,--,11.49,-116.02,--,Short,--
    Sell To Close,1,02/17/2026,1.28,127.51,02/17/2026,.11,11.49,-116.02,.00,Short,FIFO,
SPY Feb 17 '26 $676 Put,1,--,--,153.51,--,--,175.49,21.98,--,Short,--
    Sell To Close,1,02/17/2026,1.54,153.51,02/17/2026,1.75,175.49,21.98,.00,Short,FIFO,
SPY Feb 17 '26 $681 Put,1,--,--,169.51,--,--,110.49,-59.02,--,Short,--
    Sell To Close,1,02/17/2026,1.70,169.51,02/17/2026,1.10,110.49,-59.02,.00,Short,FIFO,
SPY Feb 17 '26 $682 Put,1,--,--,163.51,--,--,164.49,.98,--,Short,--
    Sell To Close,1,02/17/2026,1.64,163.51,02/17/2026,1.64,164.49,.98,.00,Short,FIFO,
SPY Feb 18 '26 $686 Call,3,--,--,273.54,--,--,176.45,-97.09,--,Short,--
    Sell To Close,1,02/18/2026,1.03,102.51,02/18/2026,1.09,109.49,6.98,.00,Short,FIFO,
    Sell To Close,2,02/18/2026,.86,171.03,02/18/2026,.33,66.96,-104.07,.00,Short,FIFO,
SPY Feb 18 '26 $688 Call,2,--,--,277.03,--,--,250.96,-26.07,--,Short,--
    Sell To Close,2,02/18/2026,1.39,277.03,02/18/2026,1.25,250.96,-26.07,.00,Short,FIFO,
SPY Feb 18 '26 $689 Call,1,--,--,76.51,--,--,66.49,-10.02,--,Short,--
    Sell To Close,1,02/18/2026,.77,76.51,02/18/2026,.66,66.49,-10.02,.00,Short,FIFO,
SPY Feb 18 '26 $686 Put,1,--,--,81.51,--,--,60.49,-21.02,--,Short,--
    Sell To Close,1,02/18/2026,.82,81.51,02/18/2026,.60,60.49,-21.02,.00,Short,FIFO,
SPY Feb 18 '26 $688 Put,1,--,--,185.51,--,--,188.49,2.98,--,Short,--
    Sell To Close,1,02/18/2026,1.86,185.51,02/18/2026,1.88,188.49,2.98,.00,Short,FIFO,
SPY Feb 19 '26 $684 Call,1,--,--,175.51,--,--,191.49,15.98,--,Short,--
    Sell To Close,1,02/19/2026,1.76,175.51,02/19/2026,1.91,191.49,15.98,.00,Short,FIFO,
SPY Feb 19 '26 $685 Call,2,--,--,241.02,--,--,180.96,-60.06,--,Short,--
    Sell To Close,1,02/19/2026,1.22,121.51,02/19/2026,.90,90.48,-31.03,.00,Short,FIFO,
    Sell To Close,1,02/19/2026,1.20,119.51,02/19/2026,.90,90.48,-29.03,.00,Short,FIFO,
SPY Feb 19 '26 $686 Put,1,--,--,151.51,--,--,178.49,26.98,--,Short,--
    Sell To Close,1,02/19/2026,1.52,151.51,02/19/2026,1.78,178.49,26.98,.00,Short,FIFO,
SPY Feb 20 '26 $684 Call,2,--,--,443.03,--,--,482.96542,39.94,--,Short,--
    Sell To Close,1,02/20/2026,2.22,221.51,02/20/2026,2.41,241.48271,19.97,--,Short,FIFO,
    Sell To Close,1,02/20/2026,2.22,221.51,02/20/2026,2.41,241.48271,19.97,--,Short,FIFO,
SPY Feb 20 '26 $685 Call,2,--,--,327.03,--,--,388.96542,61.94,--,Short,--
    Sell To Close,2,02/20/2026,1.64,327.03,02/20/2026,1.94,388.96542,61.94,--,Short,FIFO,
SPY Feb 20 '26 $686 Call,3,--,--,554.54,--,--,491.44813,-63.09,--,Short,--
    Sell To Close,1,02/20/2026,1.94,193.51,02/20/2026,1.96,196.48271,2.97,--,Short,FIFO,
    Sell To Close,1,02/20/2026,1.81,180.51,02/20/2026,1.18,118.48271,-62.03,--,Short,FIFO,
    Sell To Close,1,02/20/2026,1.81,180.51,02/20/2026,1.76,176.48271,-4.03,--,Short,FIFO,
SPY Feb 20 '26 $687 Call,3,--,--,417.54,--,--,450.44813,32.91,--,Short,--
    Sell To Close,1,02/20/2026,1.85,184.51,02/20/2026,1.95,195.48271,10.97,--,Short,FIFO,
    Sell To Close,2,02/20/2026,1.17,233.03,02/20/2026,1.27,254.96542,21.94,--,Short,FIFO,
SPY Feb 20 '26 $688 Put,2,--,--,181.03,--,--,259.96542,78.94,--,Short,--
    Sell To Close,1,02/20/2026,.91,90.51,02/20/2026,1.06,106.48271,15.97,--,Short,FIFO,
    Sell To Close,1,02/20/2026,.91,90.51,02/20/2026,1.53,153.48271,62.97,--,Short,FIFO,
SPY Feb 23 '26 $682 Call,2,--,--,244.02,--,--,260.98,16.96,--,Short,--
    Sell To Close,1,02/23/2026,1.23,122.51,02/23/2026,1.30,130.49,7.98,.00,Short,FIFO,
    Sell To Close,1,02/23/2026,1.22,121.51,02/23/2026,1.30,130.49,8.98,.00,Short,FIFO,
SPY Feb 23 '26 $683 Call,1,--,--,106.51,--,--,75.49,-31.02,--,Short,--
    Sell To Close,1,02/23/2026,1.07,106.51,02/23/2026,.75,75.49,-31.02,.00,Short,FIFO,
SPY Feb 24 '26 $683 Call,1,--,--,172.51,--,--,340.49,167.98,--,Short,--
    Sell To Close,1,02/24/2026,1.73,172.51,02/24/2026,3.40,340.49,167.98,.00,Short,FIFO,
SPY Feb 24 '26 $685 Put,1,--,--,70.51,--,--,98.49,27.98,--,Short,--
    Sell To Close,1,02/24/2026,.71,70.51,02/24/2026,.98,98.49,27.98,.00,Short,FIFO,
SPY Feb 24 '26 $686 Put,2,--,--,200.02,--,--,151.98,-48.04,--,Short,--
    Sell To Close,1,02/24/2026,1.22,121.51,02/24/2026,1.04,104.49,-17.02,.00,Short,FIFO,
    Sell To Close,1,02/24/2026,.79,78.51,02/24/2026,.47,47.49,-31.02,.00,Short,FIFO,
SPY Feb 26 '26 $687 Call,3,--,--,587.54,--,--,671.45,83.91,--,Short,--
    Sell To Close,1,02/26/2026,1.73,172.51,02/26/2026,1.92,192.49,19.98,.00,Short,FIFO,
    Sell To Close,2,02/26/2026,2.08,415.03,02/26/2026,2.39,478.96,63.93,.00,Short,FIFO,
SPY Feb 26 '26 $691 Call,1,--,--,99.51,--,--,35.49,-64.02,--,Short,--
    Sell To Close,1,02/26/2026,1.00,99.51,02/26/2026,.35,35.49,-64.02,.00,Short,FIFO,
SPY Feb 26 '26 $684 Put,3,--,--,479.54,--,--,270.45,-209.09,--,Short,--
    Sell To Close,1,02/26/2026,1.69,168.51,02/26/2026,1.71,171.49,2.98,.00,Short,FIFO,
    Sell To Close,2,02/26/2026,1.56,311.03,02/26/2026,.49,98.96,-212.07,.00,Short,FIFO,
SPY Feb 27 '26 $683 Call w,1,--,--,310.51,--,--,334.48271,23.97,--,Short,--
    Sell To Close,1,02/27/2026,3.11,310.51,02/27/2026,3.34,334.48271,23.97,--,Short,FIFO,
SPY Feb 27 '26 $684 Call w,1,--,--,158.51,--,--,175.48271,16.97,--,Short,--
    Sell To Close,1,02/27/2026,1.59,158.51,02/27/2026,1.75,175.48271,16.97,--,Short,FIFO,
SPY Feb 27 '26 $685 Call w,1,--,--,139.51,--,--,147.48271,7.97,--,Short,--
    Sell To Close,1,02/27/2026,1.40,139.51,02/27/2026,1.47,147.48271,7.97,--,Short,FIFO,
Total,,,,14830.76,,,14972.08,141.32,.00,
Generated at Feb 28 2026 12:51 PM ET
