Date,C1_Open,C1_Close,C1_Color,C2_Open,C2_Close,C2_Color,SameColor,BothGreen,BothRed,HasDoji
2025-12-15,680.17,680.71,green,680.72,680.63,red,False,False,False,False
2025-12-16,677.755,678.51,green,678.55,678.62,green,True,True,False,False
2025-12-17,678.9,678.635,red,678.635,678.32,red,True,False,True,False
2025-12-18,679.1,679.21,green,679.21,679.24,green,True,True,False,False
2025-12-19,678.76,679.69,green,679.69,679.71,green,True,True,False,False
2025-12-22,683.855,683.6,red,683.5959,683.65,green,False,False,False,False
2025-12-23,685.56,685.43,red,685.45,685.585,green,False,False,False,False
2025-12-24,689.155,689.16,green,689.14,689.0562,red,False,False,False,False
2025-12-26,690.8,690.745,red,690.725,690.59,red,True,False,True,False
2025-12-29,687.89,687.83,red,687.8,687.97,green,False,False,False,False
2025-12-30,686.894,686.86,red,686.86,686.91,green,False,False,False,False
2025-12-31,685.43,685.22,red,685.23,685.385,green,False,False,False,False
2026-01-02,682.41,682.52,green,682.53,683.07,green,True,True,False,False
2026-01-05,688.47,688.605,green,688.6,688.68,green,True,True,False,False
2026-01-06,690.49,690.3282,red,690.32,690.37,green,False,False,False,False
2026-01-07,691.54,691.53,red,691.5348,692.11,green,False,False,False,False
2026-01-08,689.41,689.625,green,689.62,689.67,green,True,True,False,False
2026-01-09,692.96,693.25,green,693.25,693.355,green,True,True,False,False
2026-01-12,693.35,693.4055,green,693.41,693.32,red,False,False,False,False
2026-01-13,692.73,692.72,red,692.72,693.01,green,False,False,False,False
2026-01-14,688.19,688.18,red,688.17,688.14,red,True,False,True,False
2026-01-15,694.26,694.27,green,694.27,694.3,green,True,True,False,False
2026-01-16,691.64,691.525,red,691.52,691.53,green,False,False,False,False
2026-01-20,683.97,684.0,green,684.005,684.28,green,True,True,False,False
2026-01-21,683.29,683.48,green,683.4755,683.555,green,True,True,False,False
2026-01-22,688.61,688.34,red,688.33,688.639,green,False,False,False,False
2026-01-23,689.475,689.4958,green,689.5,689.37,red,False,False,False,False
2026-01-26,692.56,692.46,red,692.46,692.75,green,False,False,False,False
2026-01-27,694.86,694.99,green,694.98,695.0775,green,True,True,False,False
2026-01-28,696.69,696.5783,red,696.58,696.53,red,True,False,True,False
2026-01-29,688.98,688.5101,red,688.51,688.1,red,True,False,True,False
2026-01-30,691.08,691.31,green,691.31,691.5,green,True,True,False,False
2026-02-02,694.46,694.87,green,694.88,694.975,green,True,True,False,False
2026-02-03,692.08,692.03,red,692.04,692.535,green,False,False,False,False
2026-02-04,689.41,689.31,red,689.27,689.25,red,True,False,True,False
2026-02-05,677.06,676.43,red,676.46,676.17,red,True,False,True,False
2026-02-06,685.34,685.27,red,685.28,685.545,green,False,False,False,False
2026-02-09,692.82,692.91,green,692.91,693.03,green,True,True,False,False
2026-02-10,696.25,696.31,green,696.31,696.37,green,True,True,False,False
2026-02-11,689.97,690.46,green,690.45,690.67,green,True,True,False,False
2026-02-12,693.385,692.9199,red,692.92,692.48,red,True,False,True,False
2026-02-13,683.87,683.43,red,683.43,683.96,green,False,False,False,False
2026-02-17,676.97,676.9159,red,676.9,676.46,red,True,False,True,False
2026-02-18,687.6,687.57,red,687.56,687.61,green,False,False,False,False
2026-02-19,684.11,684.79,green,684.76,685.2434,green,True,True,False,False
2026-02-20,686.79,687.1,green,687.09,686.05,red,False,False,False,False
2026-02-23,684.645,684.53,red,684.53,684.37,red,True,False,True,False
2026-02-24,686.41,686.055,red,686.03,686.32,green,False,False,False,False
2026-02-25,691.105,691.25,green,691.255,691.32,green,True,True,False,False
2026-02-26,685.21,685.47,green,685.49,684.98,red,False,False,False,False
2026-02-27,684.54,684.27,red,684.26,683.81,red,True,False,True,False
2026-03-02,683.42,683.2901,red,683.31,682.64,red,True,False,True,False
2026-03-03,670.19,671.5725,green,671.58,671.18,red,False,False,False,False
2026-03-04,685.76,686.165,green,686.16,685.9,red,False,False,False,False
2026-03-05,679.73,679.5185,red,679.5,679.72,green,False,False,False,False
2026-03-06,674.32,674.75,green,674.75,674.9,green,True,True,False,False
2026-03-09,664.52,664.76,green,664.76,664.76,doji,False,False,False,True
2026-03-10,678.38,678.15,red,678.1422,678.49,green,False,False,False,False
2026-03-11,676.45,676.01,red,676.06,675.86,red,True,False,True,False
2026-03-12,668.04,667.93,red,667.95,668.0,green,False,False,False,False
2026-03-13,669.45,670.09,green,670.07,670.2,green,True,True,False,False
2026-03-16,669.71,669.74,green,669.74,669.5122,red,False,False,False,False
2026-03-17,672.62,672.45,red,672.5,672.86,green,False,False,False,False
2026-03-18,666.24,666.14,red,666.12,666.52,green,False,False,False,False
2026-03-19,656.58,657.28,green,657.28,657.74,green,True,True,False,False
2026-03-20,652.47,652.44,red,652.44,652.69,green,False,False,False,False
2026-03-23,660.4,660.6,green,660.58,660.85,green,True,True,False,False
2026-03-24,652.73,652.96,green,652.94,653.11,green,True,True,False,False
2026-03-25,658.04,658.185,green,658.18,658.52,green,True,True,False,False
2026-03-26,653.975,654.3407,green,654.35,654.27,red,False,False,False,False
2026-03-27,639.19,639.625,green,639.61,639.27,red,False,False,False,False
2026-03-30,636.25,636.27,green,636.29,636.105,red,False,False,False,False
2026-03-31,642.32,642.045,red,642.03,642.15,green,False,False,False,False
2026-04-01,655.34,655.46,green,655.465,655.065,red,False,False,False,False
2026-04-02,650.62,650.79,green,650.795,651.19,green,True,True,False,False
2026-04-06,658.83,658.915,green,658.95,658.63,red,False,False,False,False
2026-04-07,654.14,654.16,green,654.13,654.025,red,False,False,False,False
2026-04-08,674.095,673.8863,red,673.89,673.59,red,True,False,True,False
2026-04-09,674.32,674.01,red,674.0,673.9299,red,True,False,True,False
2026-04-10,681.75,681.715,red,681.71,681.6999,red,True,False,True,False
2026-04-13,679.57,679.89,green,679.87,679.59,red,False,False,False,False
2026-04-14,690.9599,690.96,green,690.95,690.92,red,False,False,False,False
2026-04-15,696.85,696.98,green,696.98,697.04,green,True,True,False,False
2026-04-16,699.32,699.15,red,699.14,698.9501,red,True,False,True,False
