Date,Close_930,VWAP_930,Gap_Pct,Gap_Bucket,Volume,Dir_930,Dir_945,Vol_Spike
2025-11-14,666.719970703125,665.614990234375,-0.9924831532339824,Large (>0.5%),12024764,Bull,Bull,High Volume
2025-11-17,671.9849853515625,671.20166015625,-0.4390225691553877,Medium (0.2–0.5%),6663464,Bull,Bull,Normal Volume
2025-11-18,661.8499755859375,662.3550008138021,-0.5400459260461379,Large (>0.5%),10467147,Bear,Bear,High Volume
2025-11-19,663.0150146484375,662.1483357747396,0.09695134884049479,Small (<0.2%),6672977,Bull,Bull,Normal Volume
2025-11-20,673.635009765625,673.4183349609375,1.5483208862085145,Large (>0.5%),10521265,Bull,Bull,Normal Volume
2025-11-21,654.3400268554688,654.9366861979166,0.38618276293109416,Medium (0.2–0.5%),11473032,Bear,Bull,High Volume
2025-11-24,662.8900146484375,663.6000162760416,0.5507851934967081,Large (>0.5%),7210277,Bear,Bull,Normal Volume
2025-11-25,667.3842163085938,668.1847330729166,-0.026912378169927254,Small (<0.2%),6332893,Bear,Bull,Normal Volume
2025-11-26,678.7899780273438,678.3499959309896,0.38963035300925924,Medium (0.2–0.5%),6087530,Bull,Bear,Normal Volume
2025-11-28,681.27001953125,681.2066650390625,0.18097795269678882,Small (<0.2%),3991816,Bull,Bear,Normal Volume
2025-12-01,679.25,679.4333292643229,-0.4706638926614628,Medium (0.2–0.5%),5166359,Bear,Bull,Normal Volume
2025-12-02,682.4099731445312,682.3333333333334,0.24254536162613508,Medium (0.2–0.5%),4330321,Bull,Bear,Normal Volume
2025-12-03,680.8809814453125,680.7736612955729,-0.1335289620548109,Small (<0.2%),6293778,Bull,Bear,Normal Volume
2025-12-04,683.8599243164062,684.2799682617188,0.21789535685273845,Medium (0.2–0.5%),4848258,Bear,Bear,Normal Volume
2025-12-05,685.8300170898438,685.9033406575521,0.1563334674013953,Small (<0.2%),5900245,Bear,Bull,Normal Volume
2025-12-08,685.9199829101562,685.9466756184896,0.1370965372909525,Small (<0.2%),4856609,Bear,Bear,Normal Volume
2025-12-09,683.7000122070312,683.5500081380209,-0.07313683641400236,Small (<0.2%),4633492,Bull,Bull,Normal Volume
2025-12-10,682.666015625,682.3486735026041,-0.0717356332818668,Small (<0.2%),4637194,Bull,Bull,Normal Volume
2025-12-11,685.5850219726562,685.2950032552084,-0.33747523493242904,Medium (0.2–0.5%),6154642,Bull,Bear,Normal Volume
2025-12-12,687.9400024414062,688.17333984375,-0.14221018199041824,Small (<0.2%),5269209,Bear,Bear,Normal Volume
2025-12-15,683.6199951171875,684.3116658528646,0.5882108577457253,Large (>0.5%),7297117,Bear,Bear,Normal Volume
2025-12-16,678.6500854492188,679.1000773111979,-0.21742613684710851,Medium (0.2–0.5%),7781025,Bear,Bull,Normal Volume
2025-12-17,678.52001953125,679.0216674804688,0.15172926952552326,Small (<0.2%),7388264,Bear,Bull,Normal Volume
2025-12-18,676.280029296875,676.9833577473959,0.938475779462056,Large (>0.5%),9461589,Bear,Bull,Normal Volume
2025-12-19,679.4099731445312,678.6083170572916,0.0768713851501807,Small (<0.2%),10558523,Bull,Bull,High Volume
2025-12-22,683.22998046875,683.5666707356771,0.4922163789874204,Medium (0.2–0.5%),6061395,Bear,Bull,Normal Volume
2025-12-23,685.7750244140625,685.1483357747396,-0.1270455387933205,Small (<0.2%),4341829,Bull,Bear,Normal Volume
2025-12-24,688.280029296875,688.2866821289062,0.008721716639677848,Small (<0.2%),3053993,Bear,Bull,Normal Volume
2025-12-26,691.5499877929688,691.1300048828125,0.026793571487608966,Small (<0.2%),3745329,Bull,Bear,Normal Volume
2025-12-29,688.4299926757812,688.2733357747396,-0.39189231489965404,Medium (0.2–0.5%),5387326,Bull,Bear,Normal Volume
2025-12-30,687.1199951171875,687.3633219401041,-0.0574289828778753,Small (<0.2%),2930126,Bear,Bull,Normal Volume
